district,state,literacy_gap,employment_gap,total_spent_cr,women_wage_est,unutilized_bal,agency_score
North & Middle Andaman,Andaman & Nicobar Islands,16.0,43.61,3.4262,1.3704384509068346,1.5604,0.01634241245136187
South Andaman,Andaman & Nicobar Islands,13.299999999999997,35.959999999999994,1.1606,0.47133802419165066,0.9047,0.09674973941059414
Srikakulam,Andhra Pradesh,35.7,39.39,593.9596,329.94063803972085,-593.9596,5.7835424197320856e-05
Vizianagaram,Andhra Pradesh,41.7,42.74,655.679,367.8222118048356,-655.679,0.00010813581858814671
Visakhapatnam,Andhra Pradesh,30.5,45.15,578.0101999999999,250.8112264015322,-578.0101999999999,0.00011508445053026624
East Godavari,Andhra Pradesh,22.099999999999994,49.27,543.4828,222.58209771502814,-543.4828,9.045814280202405e-05
West Godavari,Andhra Pradesh,23.0,47.6,384.8146,142.39811953383966,-384.8146,0.00019394517193356325
Krishna,Andhra Pradesh,23.099999999999994,46.04,252.399,86.1743652411726,-252.399,6.122121008823507e-05
Guntur,Andhra Pradesh,31.5,46.2,278.9214,96.7598554420952,-278.9214,8.649770781074301e-05
Prakasam,Andhra Pradesh,37.2,44.27,488.1214,242.37444514786216,-488.1214,0.00018389783607763264
Y.S.R.,Andhra Pradesh,36.2,41.41,361.9185,166.1906733854229,-361.9185,7.545807091441707e-05
Kurnool,Andhra Pradesh,43.0,45.83,329.5269,149.8358714592207,-329.5269,9.798502123316923e-05
Chittoor,Andhra Pradesh,30.700000000000003,43.86,333.9472,153.6666274290971,-333.9472,0.00012233124726364315
Tawang,Arunachal Pradesh,40.9,44.89,4.9557,1.500817801617122,0.037599999999999995,0.05477503112217677
West Kameng,Arunachal Pradesh,26.299999999999997,61.1,6.7514,1.3154978905261085,0.244,0.48990141861024283
East Kameng,Arunachal Pradesh,37.8,61.55,10.9448,1.8503249047544919,0.6865000000000001,0.1413914476147682
