district,state,literacy_rate,women_worked_pct,total_exp_lakhs,unskilled_wages_lakhs,balance_lakhs,women_persondays,total_persondays,individual_accounts,total_accounts
North & Middle Andaman,Andaman & Nicobar Islands,84.0,56.39,342.62,229.8,156.04,105714,177265,210,12850
South Andaman,Andaman & Nicobar Islands,86.7,64.04,116.06,79.67,90.47,25140,42494,1021,10553
Srikakulam,Andhra Pradesh,64.3,60.61,59395.96,48451.26,-59395.96,16041123,23556135,34,587875
Vizianagaram,Andhra Pradesh,58.3,57.26,65567.9,56318.32,-65567.9,16854044,25805713,54,499372
Visakhapatnam,Andhra Pradesh,69.5,54.85,57801.02,42033.73,-57801.02,12121733,20314946,59,512667
East Godavari,Andhra Pradesh,77.9,50.73,54348.28,40822.07,-54348.28,10431907,19132358,49,541687
West Godavari,Andhra Pradesh,77.0,52.40,38481.46,25691.72,-38481.46,6918836,12483086,83,427956
Krishna,Andhra Pradesh,76.9,53.96,25239.9,15154.12,-25239.9,4192253,7372251,24,392021
Guntur,Andhra Pradesh,68.5,53.80,27892.14,17658.06,-27892.14,4705392,8587042,40,462440
Prakasam,Andhra Pradesh,62.8,55.73,48812.14,40875.18,-48812.14,11568854,19510266,106,576407
Y.S.R.,Andhra Pradesh,63.8,58.59,36191.85,26170.74,-36191.85,7694396,12116687,28,371067
Kurnool,Andhra Pradesh,57.0,54.17,32952.69,26137.26,-32952.69,7317021,12763758,53,540899
Chittoor,Andhra Pradesh,69.3,56.14,33394.72,25419.79,-33394.72,7252250,11996793,57,465948
Tawang,Arunachal Pradesh,59.1,55.11,495.57,275.6,3.76,123048,225957,308,5623
West Kameng,Arunachal Pradesh,73.7,38.90,675.14,336.58,24.4,127213,325484,4075,8318
East Kameng,Arunachal Pradesh,62.2,38.45,1094.48,490.56,68.65,322257,854371,1888,13353
Papum Pare,Arunachal Pradesh,78.2,47.90,2167.59,985.54,14.15,516817,1088931,517,10692
Upper Subansiri,Arunachal Pradesh,64.3,43.89,1254.37,527.1,36.68,391386,908526,278,10151
Upper Siang,Arunachal Pradesh,74.4,28.71,261.22,162.03,2.9,49392,171037,85,1747
Changlang,Arunachal Pradesh,77.6,29.35,1245.89,782.6,17.07,180907,624553,7385,11702
Lower Subansiri,Arunachal Pradesh,76.8,49.93,223.94,165.92,26.65,34184,67107,122,6600
Dibang Valley,Arunachal Pradesh,77.8,41.90,128.74,61.72,89.48,57638,135848,916,4473
Lower Dibang Valley,Arunachal Pradesh,81.6,41.90,128.74,61.72,89.48,57638,135848,916,4473
Anjaw,Arunachal Pradesh,67.9,52.26,277.42,67.95,10.48,7179249,13433374,54043,458349
East Siang,Arunachal Pradesh,83.8,36.70,367.1,184.82,0.17,20427,53536,810,4510
Kra Daadi,Arunachal Pradesh,55.3,50.11,1086.66,631.97,-11.64,391880,769106,889,9579
Kurung Kumey,Arunachal Pradesh,76.5,44.78,1527,1028.28,35.64,222247,483708,1438,9698
Lohit,Arunachal Pradesh,73.4,48.76,756.49,459.08,0.15,180723,370581,195,3164
Longding,Arunachal Pradesh,71.9,20.30,59.79,33.33,3.1,24524,134594,864,5614
Namsai,Arunachal Pradesh,67.1,23.43,1819.27,942.77,11.2,171721,731342,921,5178
Siang,Arunachal Pradesh,87.4,28.03,334.88,177.32,34.38,28352,101048,706,3645
Tirap,Arunachal Pradesh,75.1,30.09,1053.59,665.85,0.45,164186,563329,4439,7847
West Siang,Arunachal Pradesh,77.9,35.76,13.31,5.18,49.29,1788,5226,231,4865
Kokrajhar,Assam,73.7,45.18,5364.17,4698.15,-251.16,1059167,2387555,118134,188480
Goalpara,Assam,74.1,47.00,1555.08,1431.38,53.36,327702,725650,1579,107659
Barpeta,Assam,74.8,41.79,8890.56,6922.03,286.04,1332084,3372021,7056,185960
Morigaon,Assam,78.7,41.36,4296.65,3825.91,-41.34,757746,1895406,34261,131017
Lakhimpur,Assam,83.9,49.45,11353.07,9761.84,166.7,2469341,4996856,714,177520
Dhemaji,Assam,81.5,50.86,5916.23,5388.18,117.3,1357519,2748756,4864,179870
Tinsukia,Assam,70.5,46.71,1846.47,1662.93,-71.43,380957,871557,686,90245
Dibrugarh,Assam,76.6,50.04,3679.87,3304.76,86.21,820976,1680217,6372,133066
Golaghat,Assam,75.1,43.90,3341.57,2962.77,56.71,646962,1516170,5235,132235
Dima Hasao,Assam,87.7,40.18,599.52,557.77,17.51,108051,292842,604,6981
Cachar,Assam,77.2,27.82,11275.95,8679.58,316.42,1175914,4356583,2102,80487
Karimganj,Assam,80.7,68.07,4296.65,3825.91,-41.34,1500321,2034303,0,100655
Hailakandi,Assam,82.2,24.04,2122.34,1689.74,-9.48,200490,861492,945,54627
