State,S_No,District,Opening_Balance_Empty,Opening_Balance_Entered,Release_LastFY_Centre,Release_LastFY_State,Release_State_Fund_to_Districts,Authorisation_EFMS,Misc_Receipt,Borrowed_Fund_From_Other,Borrowed_Fund_Refunded,Inter_District_Transfer_Out,Inter_District_Transfer_In,Total_Availability,Cumulative_LB_Estimation,Actual_Exp_Unskilled_Wage,Actual_Exp_Semi_Skilled_Wage,Actual_Exp_Material,Actual_Exp_Tax,Admin_Exp_Rec,Admin_Exp_Non_Rec,Admin_Exp_Total,Total_Expenditure,Percentage_Utilization,Balance,Payment_Due_Unskilled_Wage,Payment_Due_Semi_Skilled_Wage,Payment_Due_Material,Payment_Due_Tax,Payment_Due_Total
ARUNACHAL PRADESH,1,UPPER SUBANSIRI,,186.75,0,0,468.85,635.45,0,0,0,0,0,1291.05,0,527.1,0.64,656.65,4.74,61.75,3.5,65.25,1254.37,97.16,36.68,1.62,0,0,0,1.62
ARUNACHAL PRADESH,2,CHANGLANG,,9.08,0,0,126.71,1221.88,0.1,0,94.8,0,0,1262.97,0,782.6,2.24,357.71,41.21,47.46,14.68,62.14,1245.89,98.65,17.07,0.26,0,0,0,0.26
ARUNACHAL PRADESH,3,LOHIT,,1.64,0,0,6.68,748.31,0,0,0,0,0,756.63,0,459.08,0,238.88,26.75,28.8,2.98,31.78,756.49,99.98,0.15,0,0,0,0,0
ARUNACHAL PRADESH,4,ANJAW,,3.03,0,0,66.56,218.31,0,0,0,0,0,287.9,0,67.95,0,179,16.43,10.21,3.84,14.05,277.42,96.36,10.48,17.76,0,0,0,17.76
ARUNACHAL PRADESH,5,BICHOM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
ARUNACHAL PRADESH,6,EAST KAMENG,,152.52,0,0,592.4,435.81,7.84,0,25.43,0,0,1163.13,0,490.56,0,563.44,8.37,24.64,7.47,32.11,1094.48,94.1,68.65,52.33,0,0,0,52.33
ARUNACHAL PRADESH,7,EAST SIANG,,5.75,0,0,4.86,360.42,0,0,3.76,0,0,367.27,0,184.82,0,157.51,15.54,9.23,0,9.23,367.1,99.95,0.17,0.06,0,0,0,0.06
ARUNACHAL PRADESH,8,KAMLE,,32.01,0,0,0,192.27,0,0,0,0,0,224.28,0,86.92,0,117.99,5.34,10.32,1.29,11.61,221.86,98.92,2.42,8.73,0,0,0,8.73
ARUNACHAL PRADESH,9,KEYI PANYOR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
ARUNACHAL PRADESH,10,KRA-DAADI,,7.28,0,0,1.99,1068.96,0,0,3.21,0,0,1075.02,0,631.97,2.16,386.98,0,61.37,4.18,65.54,1086.66,101.08,-11.64,0.08,0,0,0,0.08
ARUNACHAL PRADESH,11,KURUNG KUMEY,,12.94,0,0,434.52,1089.47,25.71,0,0,0,0,1562.64,0,1028.28,0,436.05,10.2,39.7,12.76,52.47,1527,97.72,35.64,7.92,0,0,0,7.92
ARUNACHAL PRADESH,12,LEPARADA,,6.32,0,0,0,0,0,0,0,0,0,6.32,0,23.5,0,9.39,0,0,0,0,32.89,520.09,-26.56,0.08,0,0,0,0.08
ARUNACHAL PRADESH,13,LONGDING,,5.76,0,0,0.36,57.8,0.02,0,1.06,0,0,62.89,0,33.33,0,21.82,1.38,2.91,0.35,3.27,59.79,95.07,3.1,0.58,0,0,0,0.58
ARUNACHAL PRADESH,14,LOWER DIBANG VALLEY,,97.5,0,0,1.16,128.75,0,0,9.18,0,0,218.23,0,61.72,2.48,52.82,7.54,2.85,1.34,4.18,128.74,59,89.48,0.78,0,0,0,0.78
ARUNACHAL PRADESH,15,LOWER SIANG,,0.95,0,0,0,213.24,0.94,0,1.07,0,0,214.06,0,116.08,0,84.94,11.4,0.55,0,0.55,212.97,99.49,1.08,0,0,0,0,0
ARUNACHAL PRADESH,16,LOWER SUBANSIRI,,24.63,0,0,3.51,222.45,0,0,0,0,0,250.59,0,165.92,0,48.75,0.57,8.34,0.36,8.7,223.94,89.37,26.65,0,0,0,0,0
ARUNACHAL PRADESH,17,NAMSAI,,17.06,0,0,16.76,1796.13,0.52,0,0,0,0,1830.47,0,942.77,4.24,761.56,9.49,91.6,9.61,101.21,1819.27,99.39,11.2,0.22,0,0,0,0.22
ARUNACHAL PRADESH,18,PAKKE KESSANG,,0,0,0,0,201.47,0,0,0,0,0,201.47,0,112.25,0,130.26,1.98,9.91,2.15,12.06,256.56,127.34,-55.08,0.05,0,0,0,0.05
ARUNACHAL PRADESH,19,PAPUM PARE,,19.66,0,0,168.87,1993.21,0,0,0,0,0,2181.74,0,985.54,0,958.39,107.18,94.54,21.94,116.48,2167.59,99.35,14.15,0.87,0,0,0,0.87
ARUNACHAL PRADESH,20,SHI YOMI,,9.39,0,0,0,0,0,0,0,0,0,9.39,0,10.55,0,19.26,4.91,14.73,0.25,14.98,49.71,529.13,-40.31,0.03,0,0,0,0.03
ARUNACHAL PRADESH,21,SIANG,,4.82,0,64.13,180.2,120.1,0,0,0,0,0,369.26,0,177.32,0,128.31,4.66,19.12,5.47,24.59,334.88,90.69,34.38,4.09,0,0,0,4.09
ARUNACHAL PRADESH,22,TAWANG,,3.64,0,0,27.33,468.35,0,0,0,0,0,499.32,0,275.6,1.75,147.67,40.86,27.36,2.33,29.69,495.57,99.25,3.76,0.09,0,0,0,0.09
ARUNACHAL PRADESH,23,TIRAP,,18.61,0,1.5,4.79,1047.7,0,0,18.56,0,0,1054.04,0,665.85,0,327.03,23.25,37.22,0.22,37.45,1053.59,99.96,0.45,0,0,0,0,0
ARUNACHAL PRADESH,24,UPPER DIBANG VALLEY,,48.8,0,0,132.05,96.27,0,0,0,0,0,277.12,0,153.45,0,97.18,1.99,0.75,0.61,1.36,253.98,91.65,23.14,0.13,0,0,0,0.13
ARUNACHAL PRADESH,25,UPPER SIANG,,14.38,0,0,30.4,218.99,0.36,0,0,0,0,264.13,0,162.03,0,76.33,7.57,13.7,1.59,15.29,261.22,98.9,2.9,1.29,0,0,0,1.29
ARUNACHAL PRADESH,26,WEST KAMENG,,2.2,0,0,29.67,667.67,0,0,0,0,0,699.54,0,336.58,0,271.05,32.25,31.55,3.71,35.26,675.14,96.51,24.4,0.12,0,0,0,0.12
ARUNACHAL PRADESH,27,WEST SIANG,,6.16,0,0,47.25,8.88,0.3,0,0,0,0,62.6,0,5.18,0,0,0,8.13,0,8.13,13.31,21.26,49.29,0,0,0,0,0
JHARKHAND,1,BOKARO,,358.99,0,0,0,6939.7,0,0,0,0,0,7298.69,0,4288.77,90.05,2167.5,55.16,305.17,4.58,309.75,6911.22,94.69,387.47,6.32,0.32,5.12,0.1,11.86
JHARKHAND,2,CHATRA,,60.46,0,0,0,8078.98,0,0,0,0,0,8139.44,0,4851.62,73.39,2794.65,5.25,327.67,3.4,331.07,8055.96,98.97,83.47,1.85,3.43,95.81,0.06,101.15
JHARKHAND,3,DEOGHAR,,93.87,0,0,0,9827.17,0,0,0,0,0,9921.04,0,6043.61,17.66,3309.91,62.25,374.14,6.36,380.5,9813.92,98.92,107.12,6.36,0.41,8.05,0.09,14.91
JHARKHAND,4,DHANBAD,,203.94,0,0,0,6641.13,0,0,0,0,0,6845.07,0,4756.58,60,1497.28,23.43,298.17,1.41,299.58,6636.87,96.96,208.2,8.86,0.05,17.56,0.73,27.2
JHARKHAND,5,DUMKA,,339.22,0,0,0,11830.54,0,0,0,0,0,12169.76,0,7330.93,66.45,3718.51,197.72,490.15,2.56,492.71,11806.31,97.01,363.45,29.74,0.3,3.8,0.11,33.95
JHARKHAND,6,GARHWA,,257.87,0,0,0,14926.7,2,0,0,0,0,15186.57,0,8680.32,297.24,5094.91,295.2,510.66,6.22,516.88,14884.55,98.01,302.02,41.8,7.05,17.53,0.81,67.19
JHARKHAND,7,GIRIDIH,,718.79,0,0,0,16542.58,0,0,0,0,0,17261.37,0,10492.08,262.74,5149.01,4.59,590.52,11.36,601.88,16510.3,95.65,751.07,12.9,0.71,21.44,0.02,35.07
JHARKHAND,8,GODDA,,-25.7,0,0,0,7246.25,0,0,0,0,0,7220.55,0,4323.96,120.03,2447.35,28.43,300.7,0.95,301.65,7221.43,100.01,-0.88,2.77,0.35,0.63,0,3.75
