S_No,District,No_of_Joint_Account_of_Women,No_of_Total_Account_of_Women,No_of_Women_Beneficiary_Worker_with_Account,No_of_Women_Beneficiary_Active_Worker_with_Account
1,CHITTOOR,57,465948,416727,346653
2,EAST GODAVARI,49,541687,475674,373507
3,GUNTUR,40,462440,495364,415080
4,KRISHNA,24,392021,478551,401057
5,KURNOOL,53,540899,531511,457120
6,NELLORE,31,346815,320011,275524
7,PRAKASAM,106,576407,551487,490064
8,SRIKAKULAM,34,587875,509207,450961
9,VISAKHAPATANAM,59,512667,432410,392425
10,VIZIANAGARAM,54,499372,447546,411198
11,WEST GODAVARI,83,427956,424442,360475
12,Y.S.R,28,371067,316795,266188
13,CHAMBA,6406,95033,109265,92816
14,HAMIRPUR,6867,65160,81126,52728
15,KANGRA,23889,175761,185914,115089
16,KINNAUR,427,16672,15731,12858
17,KULLU,2717,81434,84984,62667
18,LAHUL AND SPITI,549,6845,5856,3710
19,MANDI,11008,223257,243489,193788
20,SHIMLA,5510,99022,115170,88601
21,SIRMAUR,3656,49847,55623,38155
22,SOLAN,3947,44583,55335,31528
23,UNA,3247,40664,45642,26389
24,BADGAM,181,11296,15669,11867
25,BANDIPORA,159,13521,17252,12694
26,BARAMULLA,194,27696,29621,18949
27,DODA,1188,70747,81543,77586
28,GANDERBAL,69,16544,18342,14102
29,JAMMU,290,19784,15323,9945
30,KARGIL,407,13869,12752,11502
31,KATHUA,395,21795,24819,18169
32,KISHTWAR,945,37999,36843,32861
33,KULGAM,407,45847,36763,30456
34,KUPWARA,714,65678,71770,64120
35,LEH (LADAKH),699,16425,15915,13945
36,POONCH,1749,60832,62655,55225
37,PULWAMA,171,11203,12904,8558
38,RAJAURI,1625,69711,89890,80054
39,RAMBAN,1276,30954,29939,20549
40,REASI,979,40598,32778,21022
41,SAMBA,214,10383,9081,4449
42,SHOPIAN,173,5073,5008,4795
43,SRINAGAR,26,1375,1174,751
44,UDHAMPUR,307,16786,18204,12210
45,CHATRA,13475,133208,141351,108631
46,DEOGHAR,22086,149643,187250,107571
47,DHANBAD,3464,96770,126756,72303
48,DUMKA,30706,189750,157869,86517
49,EAST SINGHBUM,13551,160941,150765,77578
50,GARHWA,23332,208273,211332,154712
51,GIRIDIH,3125,219775,287501,184771
52,GODDA,9546,119824,143098,77718
53,GUMLA,15663,133432,126943,63721
54,HAZARIBAGH,19344,158209,182979,108167
55,JAMTARA,1814,78245,109754,82405
56,KHUNTI,6571,63741,63962,31849
57,KODERMA,1729,59491,68903,41539
58,LATEHAR,6148,95028,110875,82500
59,LOHARDAGA,12974,71214,71876,37934
60,PAKUR,34614,116416,111938,58676
61,PALAMU,13513,198807,201762,132581
62,RAMGARH,2478,56459,70035,42510
63,RANCHI,22867,208777,189874,95031
64,SAHEBGANJ,3914,105631,132250,70003
65,SARAIKELA KHARSAWAN,5492,117331,137848,78340
66,SIMDEGA,29022,104559,87378,55212
67,WEST SINGHBHUM,7517,165364,166529,85768
68,BALLARI,75623,370574,397506,275328
69,BELAGAVI,171480,634835,620112,307068
70,BENGALURU,33316,45575,40836,4287
71,BENGALURU RURAL,16963,94726,103995,44505
72,BENGALURU SOUTH,16443,183224,185895,107212
73,BIDAR,50053,219068,191519,112974
74,CHAMARAJA NAGARA,38093,192302,199464,91644
75,CHIKKABALLAPURA,49229,219779,198438,98159
76,CHIKKAMAGALURU,43919,163688,161835,83006
77,CHITRADURGA,109095,388996,333292,147754
78,DAKSHINA KANNADA,38475,138443,149532,52901
79,DAVANAGERE,83617,305443,288326,136115
80,DHARWAR,52735,153784,157019,66771
81,GADAG,23120,174112,175474,120024
82,HASSAN,40504,257544,256647,143035
83,HAVERI,55987,228739,242254,129375
84,KALABURAGI,163836,461262,346259,180371
85,KODAGU,32646,65565,66834,20395
86,KOLAR,56671,231518,214297,97979
87,KOPPAL,189192,420389,301429,214188
88,MANDYA,9561,238762,270141,107501
89,MYSURU,54029,259442,284305,110773
90,RAICHUR,50821,382346,343104,252811
91,SHIVAMOGGA,35875,246166,238306,127822
92,TUMAKURU,155052,437053,360321,184719
93,UDUPI,5056,83780,127439,46631
94,UTTARA KANNADA,28539,152014,166586,72105
95,VIJAYPURA,154564,327591,282033,105065
96,Yadgir,74702,209866,195490,106564
97,ERNAKULAM,2123,180680,189356,91605
98,IDUKKI,1783,179417,173261,107449
99,KANNUR,394,170381,199933,117146
100,KASARGOD,1140,122339,142596,95623
101,KOLLAM,4270,285137,300979,174865
102,KOTTAYAM,1832,140157,143451,76028
103,KOZHIKODE,896,248857,273008,176890
104,MALAPPURAM,1244,208649,255497,122914
105,PALAKKAD,1541,280842,314893,195909
106,PATHANAMTHITTA,816,106567,111285,62234
107,THIRUVANANTHAPURAM,4640,324588,330020,206956
108,THRISSUR,443,227432,258969,128504
109,WAYANAD,601,110712,121577,75464
110,LEH (LADAKH),732,16792,14695,11845
111,ALIRAJPUR,169487,240388,115841,81100
112,ANUPPUR,76651,193535,136594,106971
